epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8915.68,1.02496,0.86392,1.31832,0.79174,0.72845,0.82269,0.54779,1.09405,0.81594,1.31119,0.000848969,0.000848969,0.000848969
43,9127.45,1.01528,0.85838,1.31618,0.76869,0.7656,0.83179,0.56248,1.0729,0.79372,1.29879,0.000834822,0.000834822,0.000834822
44,9339.46,1.00999,0.86078,1.3074,0.78024,0.75033,0.82774,0.55837,1.08379,0.79044,1.30053,0.000820675,0.000820675,0.000820675
45,9551.32,1.00623,0.8447,1.30277,0.76863,0.76071,0.83157,0.56049,1.0735,0.7846,1.30296,0.000806528,0.000806528,0.000806528
46,9763.38,0.99965,0.84344,1.30231,0.79341,0.74949,0.82893,0.56264,1.07547,0.78256,1.30241,0.00079238,0.00079238,0.00079238
47,9975.2,0.98744,0.82263,1.29138,0.7853,0.74476,0.82819,0.55975,1.07973,0.77811,1.30821,0.000778233,0.000778233,0.000778233
48,10186.8,0.98514,0.8164,1.28716,0.79618,0.748,0.83184,0.56726,1.06012,0.77663,1.28906,0.000764086,0.000764086,0.000764086
49,10399.3,0.9765,0.80813,1.28937,0.80284,0.74206,0.83153,0.5635,1.06521,0.76711,1.30257,0.000749939,0.000749939,0.000749939
50,10611,0.98069,0.8137,1.29062,0.79693,0.74247,0.8278,0.55994,1.07871,0.77297,1.30332,0.000735792,0.000735792,0.000735792
51,10822.8,0.96856,0.80365,1.27817,0.79891,0.73703,0.8286,0.56669,1.06486,0.77101,1.29816,0.000721645,0.000721645,0.000721645
52,11034.6,0.97033,0.79234,1.27778,0.80045,0.74782,0.83391,0.56979,1.04944,0.76641,1.28369,0.000707498,0.000707498,0.000707498
53,11246.6,0.95323,0.78259,1.26476,0.81517,0.73566,0.83302,0.56949,1.05413,0.76939,1.28366,0.000693351,0.000693351,0.000693351
54,11458.4,0.94896,0.77351,1.26704,0.78977,0.7469,0.82827,0.57044,1.04374,0.75228,1.27931,0.000679204,0.000679204,0.000679204
55,11670.4,0.9457,0.76318,1.26259,0.81533,0.7422,0.83606,0.57526,1.04379,0.75811,1.27846,0.000665057,0.000665057,0.000665057
56,11882.3,0.93837,0.75736,1.25639,0.80413,0.75385,0.8406,0.57495,1.05052,0.75162,1.2833,0.000650909,0.000650909,0.000650909
57,12094.3,0.9339,0.75361,1.25698,0.79024,0.74883,0.83081,0.56696,1.0567,0.75258,1.30063,0.000636762,0.000636762,0.000636762
58,12306.1,0.9274,0.75576,1.25007,0.80251,0.74742,0.83328,0.57264,1.04912,0.74301,1.28416,0.000622615,0.000622615,0.000622615
59,12517.7,0.9244,0.74616,1.24812,0.79235,0.75872,0.83283,0.5712,1.05383,0.74417,1.28525,0.000608468,0.000608468,0.000608468
60,12729.3,0.91716,0.73395,1.2401,0.80778,0.76258,0.83739,0.57844,1.05261,0.74084,1.28731,0.000594321,0.000594321,0.000594321
61,12941.1,0.91222,0.73784,1.24112,0.76993,0.7742,0.83801,0.57397,1.06186,0.74893,1.29895,0.000580174,0.000580174,0.000580174
62,13152.7,0.90183,0.72277,1.23485,0.80991,0.75272,0.83581,0.58002,1.04084,0.74221,1.27981,0.000566027,0.000566027,0.000566027
63,13365.1,0.89606,0.71146,1.22989,0.77255,0.77077,0.83726,0.5797,1.04808,0.73802,1.28991,0.00055188,0.00055188,0.00055188
64,13576.9,0.88757,0.71173,1.22093,0.79132,0.76955,0.83829,0.57916,1.04944,0.74433,1.28767,0.000537733,0.000537733,0.000537733
65,13788.5,0.891,0.6966,1.22514,0.78589,0.7747,0.83501,0.57621,1.05067,0.74165,1.29486,0.000523586,0.000523586,0.000523586
66,14000.3,0.88487,0.69061,1.21879,0.81619,0.75192,0.8391,0.57524,1.05422,0.73159,1.29645,0.000509438,0.000509438,0.000509438
67,14212,0.87454,0.68578,1.21891,0.80698,0.7538,0.83924,0.57621,1.05688,0.73294,1.30168,0.000495291,0.000495291,0.000495291
68,14423.8,0.87055,0.68963,1.21277,0.7922,0.76855,0.83786,0.57612,1.05253,0.73531,1.2956,0.000481144,0.000481144,0.000481144
69,14635.5,0.85827,0.67282,1.204,0.79606,0.76918,0.83661,0.5773,1.05829,0.72577,1.3044,0.000466997,0.000466997,0.000466997
70,14847.1,0.85706,0.67362,1.20582,0.79245,0.77935,0.84011,0.58336,1.05424,0.72224,1.30156,0.00045285,0.00045285,0.00045285
71,15059.1,0.8515,0.66245,1.20098,0.81495,0.75316,0.83846,0.58044,1.05705,0.72237,1.30315,0.000438703,0.000438703,0.000438703
72,15271.1,0.84652,0.65416,1.19519,0.81163,0.7541,0.83824,0.57443,1.06308,0.72356,1.30913,0.000424556,0.000424556,0.000424556
73,15482.9,0.841,0.65767,1.19247,0.80536,0.75735,0.83989,0.5781,1.0589,0.72245,1.30315,0.000410409,0.000410409,0.000410409
74,15694.6,0.83502,0.64503,1.18067,0.78007,0.77867,0.84033,0.5787,1.0581,0.72224,1.30343,0.000396262,0.000396262,0.000396262
75,15906.3,0.82215,0.63378,1.17888,0.82454,0.74367,0.83808,0.57922,1.0596,0.72417,1.3064,0.000382115,0.000382115,0.000382115
76,16118,0.82289,0.62949,1.18049,0.78316,0.77287,0.83874,0.58115,1.05735,0.72644,1.30393,0.000367967,0.000367967,0.000367967
77,16329.5,0.82304,0.62749,1.17208,0.80364,0.76408,0.83966,0.58023,1.04863,0.72827,1.30065,0.00035382,0.00035382,0.00035382
78,16541.1,0.81799,0.62689,1.17031,0.78872,0.77395,0.84127,0.57936,1.05835,0.72926,1.31357,0.000339673,0.000339673,0.000339673
79,16752.8,0.80741,0.61716,1.17352,0.80562,0.76327,0.84067,0.57675,1.06091,0.73165,1.3176,0.000325526,0.000325526,0.000325526
80,16964.3,0.80668,0.61034,1.17093,0.80193,0.77324,0.84151,0.57856,1.05876,0.72271,1.3215,0.000311379,0.000311379,0.000311379
